29/09/2025 10:34:10	Inicio aplicación Transfer K-Scale y TouchScale.

29/09/2025 10:34:10	Inicio transferencia balanza: 1
29/09/2025 10:34:10	OK Ping con la balanza	1
29/09/2025 10:34:10	OK - Acceso a balanza
29/09/2025 10:34:10	Copiando:	Images
29/09/2025 10:34:17		Copiado:	590051.png
29/09/2025 10:34:17		Copiado:	590052.png
29/09/2025 10:34:17		Copiado:	590053.png
29/09/2025 10:34:17		Copiado:	590054.png
29/09/2025 10:34:17		Copiado:	590055.png
29/09/2025 10:34:17		Copiado:	590056.png
29/09/2025 10:34:17		Copiado:	590057.png
29/09/2025 10:34:17		Copiado:	590058.png
29/09/2025 10:34:17		Copiado:	590059.png
29/09/2025 10:34:17		Copiado:	590060.png
29/09/2025 10:34:17		Copiado:	590061.png
29/09/2025 10:34:17		Copiado:	590062.png
29/09/2025 10:34:17		Copiado:	590063.png
29/09/2025 10:34:17		Copiado:	590064.png
29/09/2025 10:34:17		Copiado:	590065.png
29/09/2025 10:34:18		Copiado:	590066.png
29/09/2025 10:34:18		Copiado:	590067.png
29/09/2025 10:34:18		Copiado:	590068.png
29/09/2025 10:34:18		Copiado:	590069.png
29/09/2025 10:34:18		Copiado:	590070.png
29/09/2025 10:34:18		Copiado:	590071.png
29/09/2025 10:34:18		Copiado:	590072.png
29/09/2025 10:34:18		Copiado:	590073.png
29/09/2025 10:34:18		Copiado:	590074.png
29/09/2025 10:34:18		Copiado:	590075.png
29/09/2025 10:34:18		Copiado:	590076.png
29/09/2025 10:34:18		Copiado:	590077.png
29/09/2025 10:34:18		Copiado:	590078.png
29/09/2025 10:34:18		Copiado:	590079.png
29/09/2025 10:34:18		Copiado:	590080.png
29/09/2025 10:34:18		Copiado:	590081.png
29/09/2025 10:34:18		Copiado:	590082.png
29/09/2025 10:34:18		Copiado:	590083.png
29/09/2025 10:34:18		Copiado:	590084.png
29/09/2025 10:34:18		Copiado:	590085.png
29/09/2025 10:34:18		Copiado:	590086.png
29/09/2025 10:34:18		Copiado:	590087.png
29/09/2025 10:34:18		Copiado:	590088.png
29/09/2025 10:34:18		Copiado:	590089.png
29/09/2025 10:34:18		Copiado:	590090.png
29/09/2025 10:34:18		Copiado:	590091.png
29/09/2025 10:34:18		Copiado:	590092.png
29/09/2025 10:34:18		Copiado:	590093.png
29/09/2025 10:34:18		Copiado:	590094.png
29/09/2025 10:34:18		Copiado:	590095.png
29/09/2025 10:34:18		Copiado:	590096.png
29/09/2025 10:34:18		Copiado:	590097.png
29/09/2025 10:34:18		Copiado:	590098.png
29/09/2025 10:34:18		Copiado:	590099.png
29/09/2025 10:34:18		Copiado:	590100.png
29/09/2025 10:34:18		Copiado:	590101.png
29/09/2025 10:34:18		Copiado:	590102.png
29/09/2025 10:34:18		Copiado:	590103.png
29/09/2025 10:34:18		Copiado:	590104.png
29/09/2025 10:34:18		Copiado:	590105.png
29/09/2025 10:34:18		Copiado:	590106.png
29/09/2025 10:34:18		Copiado:	590107.png
29/09/2025 10:34:18		Copiado:	590108.png
29/09/2025 10:34:18		Copiado:	590109.png
29/09/2025 10:34:18		Copiado:	590110.png
29/09/2025 10:34:18		Copiado:	590111.png
29/09/2025 10:34:18		Copiado:	590112.png
29/09/2025 10:34:18		Copiado:	590113.png
29/09/2025 10:34:18		Copiado:	590114.png
29/09/2025 10:34:18		Copiado:	590115.png
29/09/2025 10:34:18		Copiado:	590116.png
29/09/2025 10:34:18		Copiado:	590117.png
29/09/2025 10:34:18		Copiado:	590118.png
29/09/2025 10:34:18		Copiado:	590119.png
29/09/2025 10:34:19		Copiado:	590120.png
29/09/2025 10:34:19		Copiado:	590121.png
29/09/2025 10:34:19		Copiado:	590122.png
29/09/2025 10:34:19		Copiado:	590123.png
29/09/2025 10:34:19		Copiado:	590124.png
29/09/2025 10:34:19		Copiado:	590125.png
29/09/2025 10:34:19		Copiado:	590126.png
29/09/2025 10:34:19		Copiado:	590127.png
29/09/2025 10:34:19		Copiado:	590128.png
29/09/2025 10:34:19		Copiado:	590129.png
29/09/2025 10:34:19		Copiado:	590130.png
29/09/2025 10:34:19		Copiado:	590132.png
29/09/2025 10:34:19		Copiado:	590134.png
29/09/2025 10:34:19		Copiado:	590147.png
29/09/2025 10:34:19		Copiado:	590148.png
29/09/2025 10:34:19		Copiado:	590150.png
29/09/2025 10:34:19		Copiado:	590156.png
29/09/2025 10:34:19		Copiado:	590158.png
29/09/2025 10:34:19		Copiado:	590159.png
29/09/2025 10:34:19		Copiado:	590162.png
29/09/2025 10:34:19		Copiado:	590165.png
29/09/2025 10:34:19		Copiado:	590173.png
29/09/2025 10:34:19		Copiado:	590174.png
29/09/2025 10:34:19		Copiado:	590175.png
29/09/2025 10:34:19		Copiado:	590177.png
29/09/2025 10:34:19		Copiado:	590179.png
29/09/2025 10:34:19		Copiado:	590186.png
29/09/2025 10:34:19		Copiado:	590187.png
29/09/2025 10:34:19		Copiado:	590188.png
29/09/2025 10:34:19		Copiado:	590190.png
29/09/2025 10:34:19		Copiado:	590195.png
29/09/2025 10:34:19		Copiado:	590196.png
29/09/2025 10:34:19		Copiado:	590210.png
29/09/2025 10:34:19		Copiado:	590220.png
29/09/2025 10:34:19		Copiado:	590221.png
29/09/2025 10:34:19		Copiado:	590224.png
29/09/2025 10:34:19		Copiado:	590225.png
29/09/2025 10:34:19		Copiado:	590226.png
29/09/2025 10:34:19		Copiado:	590227.png
29/09/2025 10:34:19		Copiado:	590228.png
29/09/2025 10:34:19		Copiado:	590229.png
29/09/2025 10:34:19		Copiado:	590230.png
29/09/2025 10:34:19		Copiado:	590231.png
29/09/2025 10:34:19		Copiado:	590232.png
29/09/2025 10:34:19		Copiado:	590233.png
29/09/2025 10:34:19		Copiado:	590234.png
29/09/2025 10:34:19		Copiado:	590235.png
29/09/2025 10:34:19		Copiado:	590236.png
29/09/2025 10:34:19		Copiado:	590237.png
29/09/2025 10:34:19		Copiado:	590238.png
