F001001001VERDURAS                      01001.png
F001002002FRUTERIA                      01002.png
F001006003CONGELAT                      01006.png
F101011004MANTEGATS I POLVORON          01011.png
F101012005MANTEGADES I POLVOR.          01012.png
F101013006MANTECAT I POLVORONS          01013.png
F002003001QUESOS                        02003.png
F002004002CHARCUTERIA                   02004.png
F002005003CARNICERIA                    02005.png
F002007004ELABORADOS                    02007.png
F002008005VEDELLA                       02008.png
F002009006XAI                           02009.png
F002010007AVIRAM                        02010.png
50801107020260000000903105W0000Cabrit carre sencer      0000020000000000000000000000000
50801105020289000000901555W0000Xai brao                 0000020000000000000000000000000
50801198020293000000903305W0000Xai costelles i mitj     0000020000000000000000000000000
50801141020297000000902245W0000Xai lletada (molleja     0000020000000000000000000000000
50801138020299000000901075W0000Xai ronyo                0000020000000000000000000000000
51062278020301000000901029W000032150003 XAI RONYO       0000020000000000000000000000000
51062285020302000000900475W000033190003 XAI CAP UNI     0000020000000000000000000000000
51062281020303000000902058W000033211001 XAI LLETADA     0000020000000000000000000000000
50801231020003000001001869W0000Porc filet tallat sa     0000020000000000000000000000000
50801227020004000001001015W0000Botifarró de ceba sa     0000020000000000000000000000000
50801237020006000001001329W0000Porc llonzat s/coll      0000020000000000000000000000000
50801216020014000001001355W0000Mandonguilla safata      0000020000000000000000000000000
50801253020020000001000555W0000Porc espinada safata     0000020000000000000000000000000
50800450020021000001000799W0000ESCALOPA DE POLLASTR     0000020000000000000000000000000
50801195020024000001000895W0000Caldo preparat Vedel     0000020000000000000000000000000
50801240020027000001001575W0000Porc costella safata     0000020000000000000000000000000
50801187020028000001001989W0000Vedella estofat safa     0000020000000000000000000000000
50801246020029000001001045W0000Porc peus partits sa     0000020000000000000000000000000
50800428020030000001001889W0000MEDALLONS DE CONILL      0000020000000000000000000000000
50801242020032000001001595W0000Porc churrasco safat     0000020000000000000000000000000
50801186020033000001002329W0000Vedella fricando saf     0000020000000000000000000000000
50801181020034000001002495W0000Vedella filets rodo      0000020000000000000000000000000
50801245020035000001001039W0000Porc estofat safata      0000020000000000000000000000000
50801213020037000001001049W0000Botifarra porc all/j     0000020000000000000000000000000
50800436020038000001000425U0000BURGER MEAT P.A/FORM     0000020000000000000000000000000
50801787020166000001000199W0000CARCASSA POLLASTRE A     0000020000000000000000000000000
50801786020168000001000919W0000PIT POLLASTRE FILETE     0000020000000000000000000000000
50801232020274000001001405W0000Porc llom canya tall     0000020000000000000000000000000
50801209020275000001000875W0000Botifarra safata         0000020000000000000000000000000
50801238020276000001001245W0000Porc panxeta safata      0000020000000000000000000000000
50801235020277000001001529W0000Porc coll tallat saf     0000020000000000000000000000000
50801217020278000001001505W0000Pasta vedella (picad     0000020000000000000000000000000
50801214020279000001001505W0000Hamburg.ved.100% saf     0000020000000000000000000000000
50800429020280000001001525W0000CONILL TROSSEJAT ATM     0000020000000000000000000000000
50800435020281000001000515U0000BURGER MEAT P. (4U)      0000020000000000000000000000000
50800444020282000001000699W0000BLANQUETA DE POLLAST     0000020000000000000000000000000
50800443020283000001000645W0000ALES TALLADES DE POL     0000020000000000000000000000000
50800454020284000001001445W0000PIT DE GALL DINDI FI     0000020000000000000000000000000
50801224020286000001001325W0000Chistorra safata         0000020000000000000000000000000
50800451020287000001001189W0000PIT DE POLLASTRE FIL     0000020000000000000000000000000
50800445020288000001000735W0000PERNILETS DE POLLAST     0000020000000000000000000000000
50801215020304000001001259W0000Hamburg.ved/porc saf     0000020000000000000000000000000
